Warning                                            Type                                          Event                                                                      Group            Date       Hours      Minutes    Seconds    
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     08/03/07          5         46         31
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     11/03/07         21         14         45
                                                   [Incoming information ]                       Grid frequency disturbance (501)                                           Grid Monitoring     11/03/07         21         14         47
                                                   [Incoming information ]                       Grid overvoltage (spot value) (101)                                        Grid Monitoring     11/03/07         21         17         57
                                                   [Incoming information ]                       Island grid (401)                                                          Grid Monitoring     11/03/07         21         18          1
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/05/07          6         45         16
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/05/07          6         45         17
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/05/07          6         45         18
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     18/05/07          6         45         19
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     18/05/07          6         45         22
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     18/05/07          6         46         30
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     18/05/07          6         53          4
                                                   [Outgoing information ]                       Grid failure (801)                                                         Grid Monitoring     18/05/07          6         57          1
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     25/12/07          3         43         10
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     20/04/08          4         32          4
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     20/04/08          4         32          5
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     20/04/08          4         32          6
                                                   [Incoming information ]                       PLL outside limits (205)                                                   Grid Monitoring     20/04/08          4         32          7
                                                   [Incoming information ]                       Grid undervoltage slow (203)                                               Grid Monitoring     20/04/08          4         32         11
                                                   [Incoming information ]                       Grid failure (801)                                                         Grid Monitoring     20/04/08          4         33         19
                                                   [Incoming warning]                            Grid failure (801)                                                         Grid Monitoring     20/04/08          4         39         55
                                                   [Incoming error]                              Grid failure (801)                                                         Grid Monitoring     20/04/08          4         52         17
